#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
1300.95; 0.44594084; 729.12959956285
1302.98; 0.45915819; 730.06440600503
1305.02; 0.47378089; 731.02898300552
1307.06; 0.49008235; 732.02674837163
1309.09; 0.50825343; 733.06150849053
1311.13; 0.52839448; 734.13727404276
1313.16; 0.55050795; 735.25806071516
1315.20; 0.57449584; 736.42768465618
1317.24; 0.60017019; 737.64957935684
1319.27; 0.62728418; 738.9266758181
1321.31; 0.65558508; 740.26139046347
1323.34; 0.684881; 741.65574907874
1325.38; 0.71510527; 743.11164170025
1327.42; 0.74635794; 744.63116204723
1329.45; 0.77890695; 746.21694937994
1331.49; 0.81314068; 747.87243361851
1333.52; 0.84947637; 749.60189420294
1335.56; 0.88824281; 751.41027990497
1337.60; 0.92956463; 753.30279325975
1339.63; 0.9732795; 755.28430631631
1341.67; 1.0189144; 757.35872817102
1343.70; 1.0657357; 759.5284741437
1345.74; 1.1128695; 761.7941803874
1347.77; 1.1594704; 764.15476207835
1349.81; 1.2048994; 766.60783336658
1351.85; 1.248862; 769.15040866203
1353.88; 1.2914612; 771.77971227203
1355.92; 1.3331378; 774.49386575629
1357.95; 1.3744977; 777.29222454131
1359.99; 1.4160641; 780.17520874988
1362.03; 1.4580183; 783.14360815255
1364.06; 1.5000129; 786.19750501501
1366.10; 1.5411249; 789.33510234331
1368.13; 1.579986; 792.55181750204
1370.17; 1.6150733; 795.83996744516
1372.21; 1.6450899; 799.18922858786
1374.24; 1.6693279; 802.58783611087
1376.28; 1.687902; 806.02425894898
1378.31; 1.7017735; 809.48892292874
1380.35; 1.712544; 812.9755147065
1382.39; 1.7220716; 816.48150389557
1384.42; 1.7320174; 820.0077418042
1386.46; 1.7434536; 823.55726285372
1388.49; 1.7566454; 827.13364123878
1390.53; 1.7710597; 830.73936596524
1392.56; 1.7855823; 834.37465747716
1394.60; 1.7988579; 838.03697693296
1396.64; 1.8096357; 841.72123894137
1398.67; 1.8170108; 845.42051609702
1400.71; 1.8204989; 849.12689467284
1402.74; 1.819944; 852.83214355516
1404.78; 1.8153215; 856.52798137602
1406.82; 1.8065275; 860.20591543296
1408.85; 1.7932443; 863.8568060272
1410.89; 1.7749328; 867.47041597149
1412.92; 1.7509527; 871.03520455747
1414.96; 1.7207621; 874.53852763085
1417.00; 1.684122; 877.96725465853
1419.03; 1.6412355; 881.30866857901
1421.07; 1.5927769; 884.55142489018
1423.10; 1.5398059; 887.68633680292
1425.14; 1.4835988; 890.70681600646
1427.18; 1.4254467; 893.60890249263
1429.21; 1.3664725; 896.39092253658
1431.25; 1.3075049; 899.0528896439
1433.28; 1.2490241; 901.59579501066
